title_id;release_id;year;title;subtitle;distributor;genres;runtime;release_date;earliest_release_date;release_worldwide_gross;release_domestic_gross;release_foreign_gross;release_domestic_opening;title_worldwide_gross;title_domestic_gross;title_foreign_gross;n_theaters_opening;n_theaters_widest;days_in_release;summary;mpaa;country;language;budget;director;writer;cast;production;link_tomato;rating_imdb;rating_count_imdb;rating_metacritic;rating_count_metacritic;rating_tomatometer;rating_count_tomatometer;rating_audience_score;rating_count_audience_score;;
tt3721964;rl3489760769;2018;Gringo;;STX Entertainment;action,comedy,crime,drama;111;2018,03,9;2018,03,8;11001627;4969853;6031774;2722420;11001627;4969853;6031774;2404;2404;298;gringo a dark comedy mixed with whiteknuckle action and dramatic intrigue explores the battle of survival for businessman harold soyinka david oyelowo when he finds himself crossing the line from lawabiding citizen to wanted criminal;R;Australia;English;;Nash Edgerton;Anthony Tambakis (screenplay by), Matthew Stone (screenplay by), Matthew Stone (story by);Joel Edgerton, Charlize Theron, David Oyelowo, Thandie Newton;Amazon Studios and STX Entertainment;https://www.rottentomatoes.com/m/gringo_2018;61;22898;46;33;40;129;39;1086;;
tt5080556;rl1644594689;2018;2.0;;Runtime;action,scifi;148;2018,11,30;2018,11,29;10847903;4152000;6695903;2775000;10847903;4152000;6695903;314;314;351;after mobiles start mysteriously flying out of the hands of people in chennai dr vaseegaran summons his trusted robot chitti to ward off the birdshaped supernatural powers of pakshirajan;Not,Rated;India;Tamil;5420000000;S. Shankar;Jayamohan (tamil dialogue), Lakshmi Saravanakumar (additional tamil dialogue), S. Shankar, Abbas Tyrewala (hindi dialogue);Rajinikanth, Akshay Kumar, Amy Jackson, Adil Hussain;Lyca Productions;https://www.rottentomatoes.com/m/20_2018;64;19034;;;59;17;74;301;;
tt6485776;rl3909453313;2018;Golden Slumber;;CJ Entertainment;action,thriller;108;2018,02,16;2018,02,14;10733326;94450;10638876;;10733326;94450;10638876;;13;319;a deliveryman has to run for his life when he is he falsely accused of killing a presidential candidate in a car explosion;Not,Rated;South Korea;Korean;;Dong-Seok Noh;Kôtarô Isaka (based on the novel by);Dong-won Gang, Eui-sung Kim, Seong-gyoon Kim, Dae-Myung Kim;CJ Entertainment;https://www.rottentomatoes.com/m/golden_slumber_2018;58;547;;;;;;;;
tt7026672;rl1812301313;2018;Every Day;;Orion Pictures;drama,fantasy,romance;97;2018,02,23;2018,02,22;10421847;6102076;4319771;3016149;10421847;6102076;4319771;1667;1669;312;a shy teenager falls for a spirit who wakes up in the body of a different person every morning;PG-13;USA;English;4900000;Michael Sucsy;Jesse Andrews (screenplay by), David Levithan (based on the novel by);Angourie Rice, Justice Smith, Jeni Ross, Lucas Jade Zumann;Orion Pictures;https://www.rottentomatoes.com/m/every_day_2018;64;15049;52;12;62;58;56;1000;;
tt7046974;rl1409713665;2018;Swing Kids;;Well Go USA Entertainment;drama;133;2018,12,21;2018,12,19;10397408;222001;10175407;43952;10397408;222001;10175407;15;21;331;the story of ro gi soo a tap dancing north korean soldier who was held captive in the geoje prison camp during the korean war;TV-14;South Korea;Korean;;Hyeong-Cheol Kang;Woo-Sung Jang (musical), Hyeong-Cheol Kang;Kyung-soo Do, Hye-soo Park, Jared Grimes, Jeong-se Oh;Well Go USA Entertainment;https://www.rottentomatoes.com/m/swing_kids_2018;75;899;;;63;8;97;208;;
tt8489090;rl1023903233;2018;Lobster Cop;;China Lion Film Distribution;comedy,crime;94;2018,06,22;2018,06,21;10373129;85693;10287436;35015;10373129;85693;10287436;12;12;193;four police officers open up a lobster restaurant as a cover in order to catch a notorious drug dealer only to find their secret recipe is more popular than they expect when they get caught up in their new business venture they find a bigger conspiracy at work;;China;Mandarin;;Xinyun Li;Jiuwei Fan, Xun Lu;Qianyuan Wang, Shanshan Yuan, Hua Liu, You Zhou;Wanda Media Co.;https://www.rottentomatoes.com/m/lobster_cop;50;113;;;;;;;;
tt6017942;rl637896193;2018;Kin;;Lionsgate;action,crime,drama,scifi,thriller;102;2018,08,31;2018,08,29;10313019;5718096;4594923;3035618;10313019;5718096;4594923;2141;2141;123;chased by a vengeful criminal the feds and a gang of otherworldly soldiers a recently released excon and his adopted teenage brother are forced to go on the run with a weapon of mysterious origin as their only protection;PG-13;USA;English;30000000;Jonathan Baker, Josh Baker;"Jonathan Baker (based on the short film ""Bag Man"" by), Josh Baker (based on the short film ""Bag Man"" by), Daniel Casey (screenplay by)";Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz;Lionsgate;https://www.rottentomatoes.com/m/kin_2018;58;10940;35;20;32;88;54;741;;
tt5427194;rl4228220417;2018;The Miracle Season;;Mirror/LD Entertainment;drama,sport;101;2018,04,6;2018,04,6;10230620;10230620;;3950652;10230620;10230620;;1707;1707;270;after the tragic death of star volleyball player caroline line found a team of dispirited high school girls must band together under the guidance of their toughlove coach in hopes of winning the state championship;PG;USA;English;;Sean McNamara;David Aaron Cohen (screenplay by), Elissa Matsueda (screenplay by), David Aaron Cohen (story by);Helen Hunt, Erin Moriarty, William Hurt, Danika Yarosh;LD Entertainment;https://www.rottentomatoes.com/m/live_like_line;65;3700;44;13;52;42;83;862;;
tt7545524;rl403146241;2018;Ben Is Back;;Roadside Attractions;drama;103;2018,12,7;2018,12,6;10134204;3703184;6431020;80734;10134204;3703184;6431020;4;598;345;a drug addicted teenage boy shows up unexpectedly at his familys home on christmas eve;R;USA;English;13000000;Peter Hedges;Peter Hedges;Julia Roberts, Lucas Hedges, Courtney B. Vance, Kathryn Newton;LD Entertainment/Lionsgate/Roadside Attractions;https://www.rottentomatoes.com/m/ben_is_back;67;13607;66;39;82;207;69;1172;;
tt5961314;rl33850881;2018;The Princess and the Matchmaker;;CJ Entertainment;comedy,history,romance;110;2018,03,9;2018,02,28;9899017;78900;9820117;20142;9899017;78900;9820117;3;6;298;princess songhwa refuses her fate of marrying someone who matches her marital harmony there are 4 men on her future husband list with different fate signs refusing her fate she decides to leave the palace and find her husband by herself seo do yoon is a person who interprets marital harmony signs he is very skilled at his craft and consequently selected as the one to read the marital harmony signs between princess songhwa and the 4 men on her husband list;;South Korea;Korean;;Hong Chang-Pyo;Lee So-mi;Jun-ho Choi, Minho Choi, Woo-sik Choi, Bok-rae Jo;CJ Entertainment;https://www.rottentomatoes.com/m/the_princess_and_the_matchmaker;63;288;;;;;;;;
tt7212726;rl2466678273;2018;Simmba;;Reliance Big Pictures;action,comedy,drama;158;2018,12,28;2018,12,27;9865268;5102129;4763139;1758576;9865268;5102129;4763139;301;301;324;simmba a corrupt officer enjoys all the perks of being an immoral and unethical police officer until a lifechanging event forces him to choose the righteous path;Not,Rated;India;Hindi;1;Rohit Shetty;Puri Jagannadh (original story), Vakkantham Vamsi (original story), Yunus Sajawal (screenplay), Sajid (screenplay), Farhad Samji (dialogue);Ranveer Singh, Sara Ali Khan, Sonu Sood, Ashutosh Rana;N/A;https://www.rottentomatoes.com/m/simmba;63;15853;;;30;10;40;144;;
