rank;year;title_name;title_id;distributor;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;genres
6403;2011;la piel que habito;tt1189073;sony pictures classics;17;8;2011;30842353;3185812;27656541;223119;;drama,horror,thriller
6404;2015;phoenix;tt2764784;ifc films;25;9;2014;5793245;3184472;2608773;30296;;drama,history,music,romance
6405;1994;silent fall;tt0111187;warner bros;28;10;1994;3180674;3180674;;1531244;30000000;drama,mystery,thriller
6406;1982;penitentiary ii;tt0084485;metrogoldwynmayer mgm;2;4;1982;3178542;3178542;;662896;;crime,drama,sport
6407;2005;grizzly man;tt0427312;lionsgate;12;8;2005;4064179;3178403;885776;269131;;biography,documentary
6408;2007;resurrecting the champ;tt0416185;yari film group releasing;24;8;2007;3243611;3172573;71038;1667659;;drama,sport
6409;1989;rude awakening;tt0098230;orion pictures;18;8;1989;3169719;3169719;;1121542;;comedy
6410;2016;the eagle huntress;tt3882074;sony pictures classics;2;11;2016;4400140;3169351;1230789;52574;;adventure,documentary,sport
6411;2008;il y a longtemps que je taime;tt1068649;sony pictures classics;19;3;2008;22274095;3169305;19104790;72205;;drama
6412;2019;maiden;tt8879946;sony pictures classics;8;3;2019;3494383;3168120;326263;46931;;documentary,sport
6413;2000;the big kahuna;tt0189584;lionsgate;28;4;2000;3728888;3165544;563344;80957;7000000;comedy,drama
6414;2000;beautiful;tt0210567;destination films;29;9;2000;3169930;3157348;12582;1409433;14000000;comedy,drama
6415;2016;our kind of traitor;tt1995390;roadside attractions;5;5;2016;10711027;3153157;7557870;984698;;crime,drama,thriller
6416;1994;clerks;tt0109445;miramax;19;10;1994;3151130;3151130;;31665;27000;comedy
6417;1995;steal big steal little;tt0114536;savoy pictures;29;9;1995;3150170;3150170;;1761890;35000000;comedy
6418;2009;two lovers;tt1103275;magnolia pictures;19;11;2008;16303643;3149034;13154609;94986;;drama,romance
4225;2018;rbg;tt7689964;magnolia pictures;4;5;2018;14441292;14017361;423931;578470;;biography,documentary
6420;1986;the naked cage;tt0091603;cannon film distributors;7;3;1986;3136701;3136701;;;;action,crime,drama,thriller
6421;1994;the favor;tt0109783;orion pictures;29;4;1994;3134381;3134381;;1487238;;comedy,romance
6422;2014;rosewater;tt2752688;open road films ii;14;11;2014;3171593;3128941;42652;1154303;;biography,drama
6423;2016;compadres;tt3367294;pantelion films;1;4;2016;7353544;3127773;4225771;1397434;;action,comedy,crime
6424;2006;the boynton beach bereavement club;tt0439478;wingate distribution;17;3;2006;3572758;3127472;445286;63422;;comedy,romance
6425;1993;mr wonderful;tt0107613;warner bros;15;10;1993;3125424;3125424;;1177311;;comedy,romance
6426;1996;feeling minnesota;tt0116289;new line cinema;13;9;1996;3124440;3124440;;1598051;;comedy,crime,drama,romance
6427;2014;obvious child;tt2910274;a24;6;6;2014;3325417;3123963;201454;77315;;comedy,drama,romance
6428;2006;wordplay;tt0492506;ifc films;16;6;2006;3177636;3121270;56366;32847;;documentary
6429;2003;capturing the friedmans;tt0342172;magnolia pictures;30;5;2003;4076990;3119113;957877;65154;;biography,documentary
6430;1999;jawbreaker;tt0155776;sony pictures releasing;19;2;1999;3117085;3117085;;1603425;3500000;comedy,crime,thriller
6431;2002;asterix  obelix mission cleopatre;tt0250223;;30;1;2002;128027976;3115188;124912788;;;adventure,comedy,family,fantasy
6432;2001;soul survivors;tt0218619;artisan entertainment;7;9;2001;4299141;3111545;1187596;1140698;17000000;horror,mystery,thriller
6433;1968;coogans bluff;tt0062824;universal pictures;2;10;1968;3110000;3110000;;;;action,comedy,crime,thriller,western
6434;1988;night of the demons;tt0093624;paragon pictures;14;10;1988;3109904;3109904;;;;comedy,fantasy,horror
6435;2011;zindagi na milegi dobara;tt1562872;eros international;14;7;2011;5192743;3108485;2084258;960548;;comedy,drama
6436;1988;white mischief;tt0094317;columbia pictures;22;4;1988;3107551;3107551;;24538;5300000;crime,drama,mystery,romance,thriller
6437;2007;illegal tender;tt0775488;universal pictures;24;8;2007;3106835;3106835;;1425915;;crime,drama,thriller
6438;1992;k2;tt0102178;paramount pictures;1;5;1992;3106559;3106559;;930655;;adventure,drama,sport
6439;2015;relatos salvajes;tt3011894;sony pictures classics;21;8;2014;27006530;3106530;23900000;85100;;comedy,drama,thriller
6440;1992;blame it on the bellboy;tt0103827;walt disney studios motion pictures;6;3;1992;3104545;3104545;;1326472;;comedy
